InvoiceNo,StockCode,Description,Quantity,InvoiceDate,InvoiceTime,UnitPrice,CustomerID,Revenue,TotalCartRevenue,TotalCartSize
553375,22960,JAM MAKING SET WITH JARS BALD EAGLE,12,6/1/16,14:52,3.75,14911,45,121.5,18
553375,22423,REGENCY CAKESTAND 3 TIER RHINO,6,6/1/16,14:53,12.75,14911,76.5,121.5,18
553377,23203,FARM ANIMAL DOILEY PATTERNS,10,6/1/16,14:58,1.95,14888,19.5,19.5,10
553381,47566,OWL PARTY BUNTING,4,6/1/16,15:34,4.95,13456,19.8,19.8,4
553384,22382,LUNCH BAG SPACECHIMP DESIGN ,4,6/1/16,15:53,1.65,16899,6.6,6.6,4
553385,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/1/16,15:53,12.75,16710,12.75,12.75,1
553386,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/1/16,16:22,0.55,13381,13.2,13.2,24
553388,23084,RABBIT NIGHT LIGHT,2,6/1/16,16:36,2.08,15910,4.16,4.16,2
553392,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/1/16,16:44,0.55,16131,13.2,13.2,24
553402,23084,RABBIT NIGHT LIGHT,4,6/1/16,17:13,2.08,17898,8.32,8.32,4
553411,23084,RABBIT NIGHT LIGHT,12,6/2/16,9:28,2.08,12714,24.96,75.01,33
553411,23203,FARM ANIMAL DOILEY PATTERNS,10,6/2/16,9:28,2.08,12714,20.8,75.01,33
553411,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/2/16,9:28,12.75,12714,12.75,75.01,33
553411,22382,LUNCH BAG SPACECHIMP DESIGN ,10,6/2/16,9:28,1.65,12714,16.5,75.01,33
553415,23084,RABBIT NIGHT LIGHT,6,6/2/16,10:02,2.08,12463,12.48,25.23,7
553415,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/2/16,10:02,12.75,12463,12.75,25.23,7
553417,23203,FARM ANIMAL DOILEY PATTERNS,10,6/2/16,10:08,2.08,13871,20.8,66.83,27
553417,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/2/16,10:08,12.75,13871,12.75,66.83,27
553417,23084,RABBIT NIGHT LIGHT,6,6/2/16,10:08,2.08,13871,12.48,66.83,27
553417,85099B,JUMBO BAG RED FOX,10,6/2/16,10:08,2.08,13871,20.8,66.83,27
553418,23203,FARM ANIMAL DOILEY PATTERNS,20,6/2/16,10:10,1.95,18257,39,39,20
553420,47566,OWL PARTY BUNTING,4,6/2/16,10:14,4.95,17519,19.8,19.8,4
553423,21080,SET/20 DOLPHIN PAPER NAPKINS ,1,6/2/16,10:28,0.85,17811,0.85,0.85,1
553461,22423,REGENCY CAKESTAND 3 TIER RHINO,3,6/2/16,10:57,12.75,16316,38.25,98.65,21
553461,47566,OWL PARTY BUNTING,8,6/2/16,10:57,4.95,16316,39.6,98.65,21
553461,85099B,JUMBO BAG RED FOX,10,6/2/16,10:57,2.08,16316,20.8,98.65,21
553462,22423,REGENCY CAKESTAND 3 TIER RHINO,8,6/2/16,10:57,12.75,17147,102,102,8
553469,85099B,JUMBO BAG RED FOX,100,6/2/16,11:15,1.74,16029,174,174,100
553471,22960,JAM MAKING SET WITH JARS BALD EAGLE,48,6/2/16,11:28,2.96,18102,142.08,142.08,48
553472,22423,REGENCY CAKESTAND 3 TIER RHINO,8,6/2/16,11:28,12.75,15093,102,132.6,20
553472,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/2/16,11:28,2.55,15093,30.6,132.6,20
553476,47566,OWL PARTY BUNTING,4,6/2/16,11:41,4.95,14221,19.8,19.8,4
553477,85099B,JUMBO BAG RED FOX,10,6/2/16,11:46,2.08,14239,20.8,20.8,10
553487,85099B,JUMBO BAG RED FOX,2,6/2/16,12:38,2.08,13246,4.16,4.16,2
553488,22382,LUNCH BAG SPACECHIMP DESIGN ,1,6/2/16,12:40,1.65,18043,1.65,3.73,2
553488,23203,FARM ANIMAL DOILEY PATTERNS,1,6/2/16,12:40,2.08,18043,2.08,3.73,2
553489,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/2/16,12:43,12.75,15730,12.75,25.23,7
553489,23084,RABBIT NIGHT LIGHT,6,6/2/16,12:43,2.08,15730,12.48,25.23,7
553496,47566,OWL PARTY BUNTING,4,6/2/16,12:47,4.95,14410,19.8,19.8,4
553504,47566,OWL PARTY BUNTING,4,6/2/16,13:26,4.95,13310,19.8,19.8,4
553505,47566,OWL PARTY BUNTING,4,6/2/16,13:27,4.95,12949,19.8,19.8,4
553522,22382,LUNCH BAG SPACECHIMP DESIGN ,2,6/2/16,14:43,1.65,15005,3.3,6.66,10
553522,84596B,TIGER MIX DESIGN ORANGE BOWL,8,6/2/16,14:43,0.42,15005,3.36,6.66,10
553524,21175,SEEYA LATER ALLIGATOR METAL SIGN,3,6/2/16,14:46,2.55,15570,7.65,7.65,3
553527,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/2/16,14:57,12.75,15123,12.75,12.75,1
553537,23084,RABBIT NIGHT LIGHT,12,6/2/16,15:25,2.08,14032,24.96,24.96,12
553538,22382,LUNCH BAG SPACECHIMP DESIGN ,3,6/2/16,15:26,1.65,15855,4.95,17.43,9
553538,23084,RABBIT NIGHT LIGHT,6,6/2/16,15:26,2.08,15855,12.48,17.43,9
553546,47566,OWL PARTY BUNTING,100,6/2/16,15:42,4.15,12415,415,415,100
553547,21080,SET/20 DOLPHIN PAPER NAPKINS ,12,6/2/16,15:48,0.85,12474,10.2,47.64,30
553547,23084,RABBIT NIGHT LIGHT,18,6/2/16,15:48,2.08,12474,37.44,47.64,30
553551,22423,REGENCY CAKESTAND 3 TIER RHINO,20,6/2/16,16:23,5,13631,100,100,20
553552,85099B,JUMBO BAG RED FOX,20,6/2/16,16:23,2.08,17702,41.6,83.2,40
553552,23203,FARM ANIMAL DOILEY PATTERNS,20,6/2/16,16:23,2.08,17702,41.6,83.2,40
553553,23203,FARM ANIMAL DOILEY PATTERNS,10,6/2/16,16:32,1.95,16156,19.5,44.46,22
553553,23084,RABBIT NIGHT LIGHT,12,6/2/16,16:32,2.08,16156,24.96,44.46,22
553556,23203,FARM ANIMAL DOILEY PATTERNS,2,6/2/16,16:48,2.08,17530,4.16,4.16,2
553565,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/3/16,9:01,2.55,17505,30.6,30.6,12
553566,23084,RABBIT NIGHT LIGHT,12,6/3/16,9:09,2.08,12690,24.96,24.96,12
553572,47566,OWL PARTY BUNTING,4,6/3/16,9:37,4.95,18223,19.8,40.6,14
553572,85099B,JUMBO BAG RED FOX,10,6/3/16,9:37,2.08,18223,20.8,40.6,14
553574,21080,SET/20 DOLPHIN PAPER NAPKINS ,96,6/3/16,9:59,0.72,16422,69.12,69.12,96
553575,47566,OWL PARTY BUNTING,4,6/3/16,10:08,4.95,18260,19.8,33,28
553575,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/3/16,10:08,0.55,18260,13.2,33,28
553577,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/3/16,10:34,0.55,12437,13.2,72.6,36
553577,47566,OWL PARTY BUNTING,12,6/3/16,10:34,4.95,12437,59.4,72.6,36
553578,47566,OWL PARTY BUNTING,36,6/3/16,10:39,4.95,13767,178.2,178.2,36
553607,22960,JAM MAKING SET WITH JARS BALD EAGLE,60,6/3/16,10:47,3.75,16684,225,404,160
553607,23203,FARM ANIMAL DOILEY PATTERNS,100,6/3/16,10:47,1.79,16684,179,404,160
553650,47566,OWL PARTY BUNTING,4,6/3/16,11:02,4.95,14731,19.8,33.24,36
553650,84596F,STARFISH SOAP DISH,32,6/3/16,11:02,0.42,14731,13.44,33.24,36
553653,23084,RABBIT NIGHT LIGHT,24,6/3/16,11:08,1.79,16701,42.96,42.96,24
553655,47566,OWL PARTY BUNTING,4,6/3/16,11:14,4.95,16775,19.8,19.8,4
553657,84596F,STARFISH SOAP DISH,4,6/3/16,11:28,0.42,14583,1.68,6.3,15
553657,84596F,STARFISH SOAP DISH,2,6/3/16,11:28,0.42,14583,0.84,6.3,15
553657,84596B,TIGER MIX DESIGN ORANGE BOWL,2,6/3/16,11:28,0.42,14583,0.84,6.3,15
553657,84596B,TIGER MIX DESIGN ORANGE BOWL,2,6/3/16,11:28,0.42,14583,0.84,6.3,15
553657,84596F,STARFISH SOAP DISH,2,6/3/16,11:28,0.42,14583,0.84,6.3,15
553657,84596F,STARFISH SOAP DISH,3,6/3/16,11:28,0.42,14583,1.26,6.3,15
553663,21080,SET/20 DOLPHIN PAPER NAPKINS ,3,6/3/16,12:13,0.85,14527,2.55,64.95,33
553663,85099B,JUMBO BAG RED FOX,30,6/3/16,12:13,2.08,14527,62.4,64.95,33
553664,47566,OWL PARTY BUNTING,2,6/3/16,12:15,4.95,16906,9.9,9.9,2
553668,23203,FARM ANIMAL DOILEY PATTERNS,10,6/3/16,12:21,1.95,13993,19.5,70.5,14
553668,22423,REGENCY CAKESTAND 3 TIER RHINO,4,6/3/16,12:21,12.75,13993,51,70.5,14
553672,47566,OWL PARTY BUNTING,4,6/3/16,12:44,4.95,15811,19.8,32.55,5
553672,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/3/16,12:44,12.75,15811,12.75,32.55,5
553675,21080,SET/20 DOLPHIN PAPER NAPKINS ,12,6/3/16,12:52,0.85,13719,10.2,10.2,12
553678,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/3/16,13:00,4.25,14009,25.5,58.2,40
553678,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/3/16,13:00,0.55,14009,13.2,58.2,40
553678,23203,FARM ANIMAL DOILEY PATTERNS,10,6/3/16,13:00,1.95,14009,19.5,58.2,40
553679,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/3/16,13:09,2.55,14565,30.6,51.4,22
553679,23203,FARM ANIMAL DOILEY PATTERNS,10,6/3/16,13:09,2.08,14565,20.8,51.4,22
553682,85099B,JUMBO BAG RED FOX,100,6/3/16,13:20,1.79,14646,179,179,100
553685,22960,JAM MAKING SET WITH JARS BALD EAGLE,12,6/3/16,13:56,3.75,18097,45,45,12
553686,22960,JAM MAKING SET WITH JARS BALD EAGLE,12,6/3/16,13:58,3.75,14911,45,139.08,68
553686,22423,REGENCY CAKESTAND 3 TIER RHINO,4,6/3/16,13:58,12.75,14911,51,139.08,68
553686,84596B,TIGER MIX DESIGN ORANGE BOWL,24,6/3/16,13:58,0.42,14911,10.08,139.08,68
553686,47566,OWL PARTY BUNTING,4,6/3/16,13:58,4.95,14911,19.8,139.08,68
553686,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/3/16,13:58,0.55,14911,13.2,139.08,68
553689,85099B,JUMBO BAG RED FOX,6,6/3/16,14:07,1.79,17389,10.74,10.74,6
553702,21175,SEEYA LATER ALLIGATOR METAL SIGN,2,6/3/16,14:50,2.55,13263,5.1,5.94,4
553702,84596B,TIGER MIX DESIGN ORANGE BOWL,2,6/3/16,14:50,0.42,13263,0.84,5.94,4
553703,23084,RABBIT NIGHT LIGHT,6,6/3/16,14:57,2.08,13192,12.48,12.48,6
553706,23084,RABBIT NIGHT LIGHT,6,6/3/16,15:23,2.08,13854,12.48,12.48,6
553707,23203,FARM ANIMAL DOILEY PATTERNS,10,6/3/16,15:26,2.08,16843,20.8,65.8,22
553707,22960,JAM MAKING SET WITH JARS BALD EAGLE,12,6/3/16,15:26,3.75,16843,45,65.8,22
553709,22423,REGENCY CAKESTAND 3 TIER RHINO,6,6/3/16,15:29,12.75,13767,76.5,76.5,6
553712,23203,FARM ANIMAL DOILEY PATTERNS,30,6/3/16,15:41,1.95,13552,58.5,58.5,30
553713,21212,PACK OF 72 LADYBUG CAKE CASES,120,6/3/16,15:47,0.42,13798,50.4,50.4,120
553721,23203,FARM ANIMAL DOILEY PATTERNS,10,6/3/16,16:37,1.95,16570,19.5,19.5,10
553724,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/3/16,16:50,12.75,17047,12.75,64.15,23
553724,85099B,JUMBO BAG RED FOX,10,6/3/16,16:50,2.08,17047,20.8,64.15,23
553724,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/3/16,16:50,2.55,17047,30.6,64.15,23
553727,85099B,JUMBO BAG RED FOX,20,6/3/16,16:56,2.08,13531,41.6,41.6,20
553732,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,8:27,1.95,12481,19.5,19.5,10
553735,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,8:32,1.95,14735,19.5,19.5,10
553737,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/4/16,8:50,4.25,15116,25.5,38.7,30
553737,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/4/16,8:50,0.55,15116,13.2,38.7,30
553738,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,8:55,2.08,17469,20.8,20.8,10
553739,22423,REGENCY CAKESTAND 3 TIER RHINO,6,6/4/16,9:23,12.75,14895,76.5,116.1,14
553739,47566,OWL PARTY BUNTING,8,6/4/16,9:23,4.95,14895,39.6,116.1,14
553747,47566,OWL PARTY BUNTING,4,6/4/16,9:47,4.95,13627,19.8,19.8,4
553750,85099B,JUMBO BAG RED FOX,10,6/4/16,10:16,2.08,15660,20.8,78.55,23
553750,22960,JAM MAKING SET WITH JARS BALD EAGLE,12,6/4/16,10:16,3.75,15660,45,78.55,23
553750,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/4/16,10:16,12.75,15660,12.75,78.55,23
553751,47566,OWL PARTY BUNTING,12,6/4/16,10:16,4.95,15630,59.4,84.9,14
553751,22423,REGENCY CAKESTAND 3 TIER RHINO,2,6/4/16,10:16,12.75,15630,25.5,84.9,14
553762,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,10:38,1.95,18145,19.5,65.8,26
553762,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/4/16,10:38,4.25,18145,25.5,65.8,26
553762,85099B,JUMBO BAG RED FOX,10,6/4/16,10:38,2.08,18145,20.8,65.8,26
553828,22423,REGENCY CAKESTAND 3 TIER RHINO,16,6/4/16,11:24,10.95,17865,175.2,236.4,40
553828,21175,SEEYA LATER ALLIGATOR METAL SIGN,24,6/4/16,11:24,2.55,17865,61.2,236.4,40
553832,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/4/16,11:38,0.55,12957,13.2,13.2,24
553833,85099B,JUMBO BAG RED FOX,4,6/4/16,11:41,2.08,17346,8.32,14.13,7
553833,23084,RABBIT NIGHT LIGHT,2,6/4/16,11:41,2.08,17346,4.16,14.13,7
553833,22382,LUNCH BAG SPACECHIMP DESIGN ,1,6/4/16,11:41,1.65,17346,1.65,14.13,7
553834,23084,RABBIT NIGHT LIGHT,12,6/4/16,11:47,2.08,15189,24.96,375.36,44
553834,22423,REGENCY CAKESTAND 3 TIER RHINO,32,6/4/16,11:47,10.95,15189,350.4,375.36,44
553836,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/4/16,12:08,4.25,17017,25.5,25.5,6
553837,23084,RABBIT NIGHT LIGHT,12,6/4/16,12:09,2.08,17017,24.96,24.96,12
553842,22960,JAM MAKING SET WITH JARS BALD EAGLE,12,6/4/16,12:24,3.75,12524,45,45,12
553843,85099B,JUMBO BAG RED FOX,10,6/4/16,12:29,2.08,12553,20.8,20.8,10
553845,47566,OWL PARTY BUNTING,8,6/4/16,12:38,4.95,17675,39.6,100.8,32
553845,21175,SEEYA LATER ALLIGATOR METAL SIGN,24,6/4/16,12:38,2.55,17675,61.2,100.8,32
553848,47566,OWL PARTY BUNTING,8,6/4/16,12:50,4.95,17364,39.6,39.6,8
553856,21212,PACK OF 72 LADYBUG CAKE CASES,1,6/4/16,13:28,0.55,16813,0.55,5.26,4
553856,85099B,JUMBO BAG RED FOX,2,6/4/16,13:28,2.08,16813,4.16,5.26,4
553856,21212,PACK OF 72 LADYBUG CAKE CASES,1,6/4/16,13:28,0.55,16813,0.55,5.26,4
553859,23203,FARM ANIMAL DOILEY PATTERNS,3,6/4/16,13:35,2.08,14505,6.24,6.24,3
553860,23084,RABBIT NIGHT LIGHT,1,6/4/16,13:57,2.08,17841,2.08,2.08,1
553861,22423,REGENCY CAKESTAND 3 TIER RHINO,6,6/4/16,13:58,12.75,13591,76.5,76.5,6
553864,47566,OWL PARTY BUNTING,1,6/4/16,14:08,4.95,15862,4.95,4.95,1
553869,85099B,JUMBO BAG RED FOX,20,6/4/16,14:27,2.08,15394,41.6,138.9,36
553869,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,14:27,2.08,15394,20.8,138.9,36
553869,22423,REGENCY CAKESTAND 3 TIER RHINO,6,6/4/16,14:27,12.75,15394,76.5,138.9,36
553873,23203,FARM ANIMAL DOILEY PATTERNS,20,6/4/16,14:42,2.08,14859,41.6,83.2,40
553873,85099B,JUMBO BAG RED FOX,20,6/4/16,14:42,2.08,14859,41.6,83.2,40
553878,47566,OWL PARTY BUNTING,4,6/4/16,14:56,4.95,14733,19.8,19.8,4
553879,85099B,JUMBO BAG RED FOX,10,6/4/16,15:15,1.95,15791,19.5,99.6,72
553879,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,15:15,1.95,15791,19.5,99.6,72
553879,21080,SET/20 DOLPHIN PAPER NAPKINS ,48,6/4/16,15:15,0.85,15791,40.8,99.6,72
553879,47566,OWL PARTY BUNTING,4,6/4/16,15:15,4.95,15791,19.8,99.6,72
553884,23084,RABBIT NIGHT LIGHT,12,6/4/16,15:36,2.08,12600,24.96,24.96,12
553886,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,15:53,1.95,15648,19.5,19.5,10
553888,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,16:09,2.08,15201,20.8,41.6,20
553888,85099B,JUMBO BAG RED FOX,10,6/4/16,16:09,2.08,15201,20.8,41.6,20
553889,47566,OWL PARTY BUNTING,4,6/4/16,16:31,4.95,13405,19.8,19.8,4
553892,47566,OWL PARTY BUNTING,8,6/4/16,16:56,4.95,14825,39.6,39.6,8
553893,47566,OWL PARTY BUNTING,12,6/4/16,17:13,4.95,17560,59.4,84.9,14
553893,22423,REGENCY CAKESTAND 3 TIER RHINO,2,6/4/16,17:13,12.75,17560,25.5,84.9,14
553894,22423,REGENCY CAKESTAND 3 TIER RHINO,6,6/4/16,17:15,12.75,13658,76.5,118.1,26
553894,23203,FARM ANIMAL DOILEY PATTERNS,20,6/4/16,17:15,2.08,13658,41.6,118.1,26
553899,23203,FARM ANIMAL DOILEY PATTERNS,20,6/4/16,17:25,1.95,14292,39,214.2,36
553899,22423,REGENCY CAKESTAND 3 TIER RHINO,16,6/4/16,17:25,10.95,14292,175.2,214.2,36
553901,22423,REGENCY CAKESTAND 3 TIER RHINO,16,6/4/16,17:48,10.95,14911,175.2,187.68,22
553901,23084,RABBIT NIGHT LIGHT,6,6/4/16,17:48,2.08,14911,12.48,187.68,22
553902,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/4/16,18:02,12.75,15809,12.75,12.75,1
553908,23203,FARM ANIMAL DOILEY PATTERNS,20,6/4/16,18:28,2.08,18177,41.6,41.6,20
553909,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,19:00,2.08,12951,20.8,38.5,16
553909,22910,JIGSAW PUPPY AND BIRDHOUSE,6,6/4/16,19:00,2.95,12951,17.7,38.5,16
553912,23203,FARM ANIMAL DOILEY PATTERNS,30,6/4/16,19:32,1.95,15122,58.5,182.1,74
553912,85099B,JUMBO BAG RED FOX,30,6/4/16,19:32,1.95,15122,58.5,182.1,74
553912,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/4/16,19:32,4.25,15122,25.5,182.1,74
553912,47566,OWL PARTY BUNTING,8,6/4/16,19:32,4.95,15122,39.6,182.1,74
553915,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/4/16,19:51,4.25,18225,25.5,118.9,58
553915,85099B,JUMBO BAG RED FOX,30,6/4/16,19:51,2.08,18225,62.4,118.9,58
553915,21080,SET/20 DOLPHIN PAPER NAPKINS ,12,6/4/16,19:51,0.85,18225,10.2,118.9,58
553915,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,19:51,2.08,18225,20.8,118.9,58
553919,47566,OWL PARTY BUNTING,50,6/5/16,8:41,4.15,17416,207.5,207.5,50
553920,47566,OWL PARTY BUNTING,8,6/5/16,8:57,4.95,15955,39.6,39.6,8
553922,47566,OWL PARTY BUNTING,4,6/5/16,9:24,4.95,17926,19.8,19.8,4
553923,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/5/16,9:30,0.55,13266,13.2,13.2,24
553925,84596F,STARFISH SOAP DISH,16,6/5/16,9:38,0.42,15370,6.72,6.72,16
553933,85099B,JUMBO BAG RED FOX,30,6/5/16,10:30,2.08,15078,62.4,109.5,52
553933,22382,LUNCH BAG SPACECHIMP DESIGN ,10,6/5/16,10:30,1.65,15078,16.5,109.5,52
553933,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/5/16,10:30,2.55,15078,30.6,109.5,52
553935,21212,PACK OF 72 LADYBUG CAKE CASES,4,6/5/16,10:32,0.55,15856,2.2,32.8,16
553935,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/5/16,10:32,2.55,15856,30.6,32.8,16
553936,23203,FARM ANIMAL DOILEY PATTERNS,10,6/5/16,10:32,1.95,15078,19.5,19.5,10
553937,23203,FARM ANIMAL DOILEY PATTERNS,3,6/5/16,10:33,2.08,14056,6.24,20.73,11
553937,85099B,JUMBO BAG RED FOX,3,6/5/16,10:33,2.08,14056,6.24,20.73,11
553937,22382,LUNCH BAG SPACECHIMP DESIGN ,5,6/5/16,10:33,1.65,14056,8.25,20.73,11
553940,23203,FARM ANIMAL DOILEY PATTERNS,10,6/5/16,10:36,2.08,14112,20.8,41.6,20
553940,85099B,JUMBO BAG RED FOX,10,6/5/16,10:36,2.08,14112,20.8,41.6,20
553942,47566,OWL PARTY BUNTING,8,6/5/16,10:37,4.95,18055,39.6,197.7,30
553942,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/5/16,10:37,2.55,18055,30.6,197.7,30
553942,22423,REGENCY CAKESTAND 3 TIER RHINO,10,6/5/16,10:37,12.75,18055,127.5,197.7,30
553946,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/5/16,10:48,12.75,15601,12.75,12.75,1
553978,23203,FARM ANIMAL DOILEY PATTERNS,200,6/5/16,11:03,1.65,16182,330,688,400
553978,85099B,JUMBO BAG RED FOX,200,6/5/16,11:03,1.79,16182,358,688,400
553979,47566,OWL PARTY BUNTING,50,6/5/16,11:07,4.15,15694,207.5,207.5,50
553996,23084,RABBIT NIGHT LIGHT,12,6/5/16,11:33,2.08,15220,24.96,24.96,12
553997,22382,LUNCH BAG SPACECHIMP DESIGN ,50,6/5/16,11:34,1.65,12656,82.5,82.5,50
554003,22423,REGENCY CAKESTAND 3 TIER RHINO,16,6/5/16,12:17,10.95,13324,175.2,175.2,16
