InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
553735,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,1.95,14735
553737,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/4/16,4.25,15116
553737,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/4/16,0.55,15116
553738,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,2.08,17469
553739,22423,REGENCY CAKESTAND 3 TIER RHINO,6,6/4/16,12.75,14895
553739,47566,OWL PARTY BUNTING,8,6/4/16,4.95,14895
553747,47566,OWL PARTY BUNTING,4,6/4/16,4.95,13627
553750,85099B,JUMBO BAG RED FOX,10,6/4/16,2.08,15660
553750,22960,JAM MAKING SET WITH JARS BALD EAGLE,12,6/4/16,3.75,15660
553750,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/4/16,12.75,15660
553751,47566,OWL PARTY BUNTING,12,6/4/16,4.95,15630
553751,22423,REGENCY CAKESTAND 3 TIER RHINO,2,6/4/16,12.75,15630
553762,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,1.95,18145
553762,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/4/16,4.25,18145
553762,85099B,JUMBO BAG RED FOX,10,6/4/16,2.08,18145
553828,22423,REGENCY CAKESTAND 3 TIER RHINO,16,6/4/16,10.95,17865
553828,21175,SEEYA LATER ALLIGATOR METAL SIGN,24,6/4/16,2.55,17865
553832,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/4/16,0.55,12957
553833,85099B,JUMBO BAG RED FOX,4,6/4/16,2.08,17346
553833,23084,RABBIT NIGHT LIGHT,2,6/4/16,2.08,17346
553833,22382,LUNCH BAG SPACECHIMP DESIGN ,1,6/4/16,1.65,17346
553834,23084,RABBIT NIGHT LIGHT,12,6/4/16,2.08,15189
553834,22423,REGENCY CAKESTAND 3 TIER RHINO,32,6/4/16,10.95,15189
553836,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/4/16,4.25,17017
553837,23084,RABBIT NIGHT LIGHT,12,6/4/16,2.08,17017
553842,22960,JAM MAKING SET WITH JARS BALD EAGLE,12,6/4/16,3.75,12524
553843,85099B,JUMBO BAG RED FOX,10,6/4/16,2.08,12553
553845,47566,OWL PARTY BUNTING,8,6/4/16,4.95,17675
553845,21175,SEEYA LATER ALLIGATOR METAL SIGN,24,6/4/16,2.55,17675
553848,47566,OWL PARTY BUNTING,8,6/4/16,4.95,17364
553856,21212,PACK OF 72 LADYBUG CAKE CASES,1,6/4/16,0.55,16813
553856,85099B,JUMBO BAG RED FOX,2,6/4/16,2.08,16813
553856,21212,PACK OF 72 LADYBUG CAKE CASES,1,6/4/16,0.55,16813
553859,23203,FARM ANIMAL DOILEY PATTERNS,3,6/4/16,2.08,14505
553860,23084,RABBIT NIGHT LIGHT,1,6/4/16,2.08,17841
553861,22423,REGENCY CAKESTAND 3 TIER RHINO,6,6/4/16,12.75,13591
553864,47566,OWL PARTY BUNTING,1,6/4/16,4.95,15862
553869,85099B,JUMBO BAG RED FOX,20,6/4/16,2.08,15394
553869,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,2.08,15394
553869,22423,REGENCY CAKESTAND 3 TIER RHINO,6,6/4/16,12.75,15394
553873,23203,FARM ANIMAL DOILEY PATTERNS,20,6/4/16,2.08,14859
553873,85099B,JUMBO BAG RED FOX,20,6/4/16,2.08,14859
553878,47566,OWL PARTY BUNTING,4,6/4/16,4.95,14733
553879,85099B,JUMBO BAG RED FOX,10,6/4/16,1.95,15791
553879,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,1.95,15791
553879,21080,SET/20 DOLPHIN PAPER NAPKINS ,48,6/4/16,0.85,15791
553879,47566,OWL PARTY BUNTING,4,6/4/16,4.95,15791
553884,23084,RABBIT NIGHT LIGHT,12,6/4/16,2.08,12600
553886,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,1.95,15648
553888,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,2.08,15201
553888,85099B,JUMBO BAG RED FOX,10,6/4/16,2.08,15201
553889,47566,OWL PARTY BUNTING,4,6/4/16,4.95,13405
553892,47566,OWL PARTY BUNTING,8,6/4/16,4.95,14825
553893,47566,OWL PARTY BUNTING,12,6/4/16,4.95,17560
553893,22423,REGENCY CAKESTAND 3 TIER RHINO,2,6/4/16,12.75,17560
553894,22423,REGENCY CAKESTAND 3 TIER RHINO,6,6/4/16,12.75,13658
553894,23203,FARM ANIMAL DOILEY PATTERNS,20,6/4/16,2.08,13658
553899,23203,FARM ANIMAL DOILEY PATTERNS,20,6/4/16,1.95,14292
553899,22423,REGENCY CAKESTAND 3 TIER RHINO,16,6/4/16,10.95,14292
553901,22423,REGENCY CAKESTAND 3 TIER RHINO,16,6/4/16,10.95,14911
553901,23084,RABBIT NIGHT LIGHT,6,6/4/16,2.08,14911
553902,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/4/16,12.75,15809
553908,23203,FARM ANIMAL DOILEY PATTERNS,20,6/4/16,2.08,18177
553909,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,2.08,12951
553909,22910,JIGSAW PUPPY AND BIRDHOUSE,6,6/4/16,2.95,12951
553912,23203,FARM ANIMAL DOILEY PATTERNS,30,6/4/16,1.95,15122
553912,85099B,JUMBO BAG RED FOX,30,6/4/16,1.95,15122
553912,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/4/16,4.25,15122
553912,47566,OWL PARTY BUNTING,8,6/4/16,4.95,15122
553915,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/4/16,4.25,18225
553915,85099B,JUMBO BAG RED FOX,30,6/4/16,2.08,18225
553915,21080,SET/20 DOLPHIN PAPER NAPKINS ,12,6/4/16,0.85,18225
553915,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,2.08,18225
553919,47566,OWL PARTY BUNTING,50,6/5/16,4.15,17416
553920,47566,OWL PARTY BUNTING,8,6/5/16,4.95,15955
553922,47566,OWL PARTY BUNTING,4,6/5/16,4.95,17926
553923,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/5/16,0.55,13266
553925,84596F,STARFISH SOAP DISH,16,6/5/16,0.42,15370
553933,85099B,JUMBO BAG RED FOX,30,6/5/16,2.08,15078
553933,22382,LUNCH BAG SPACECHIMP DESIGN ,10,6/5/16,1.65,15078
553933,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/5/16,2.55,15078
553935,21212,PACK OF 72 LADYBUG CAKE CASES,4,6/5/16,0.55,15856
553935,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/5/16,2.55,15856
553936,23203,FARM ANIMAL DOILEY PATTERNS,10,6/5/16,1.95,15078
553937,23203,FARM ANIMAL DOILEY PATTERNS,3,6/5/16,2.08,14056
553937,85099B,JUMBO BAG RED FOX,3,6/5/16,2.08,14056
553937,22382,LUNCH BAG SPACECHIMP DESIGN ,5,6/5/16,1.65,14056
553940,23203,FARM ANIMAL DOILEY PATTERNS,10,6/5/16,2.08,14112
553940,85099B,JUMBO BAG RED FOX,10,6/5/16,2.08,14112
553942,47566,OWL PARTY BUNTING,8,6/5/16,4.95,18055
553942,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/5/16,2.55,18055
553942,22423,REGENCY CAKESTAND 3 TIER RHINO,10,6/5/16,12.75,18055
553946,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/5/16,12.75,15601
553978,23203,FARM ANIMAL DOILEY PATTERNS,200,6/5/16,1.65,16182
553978,85099B,JUMBO BAG RED FOX,200,6/5/16,1.79,16182
553979,47566,OWL PARTY BUNTING,50,6/5/16,4.15,15694
553996,23084,RABBIT NIGHT LIGHT,12,6/5/16,2.08,15220
553997,22382,LUNCH BAG SPACECHIMP DESIGN ,50,6/5/16,1.65,12656
554003,22423,REGENCY CAKESTAND 3 TIER RHINO,16,6/5/16,10.95,13324
554009,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/5/16,4.25,12935
554015,22382,LUNCH BAG SPACECHIMP DESIGN ,10,6/5/16,1.65,17644
554015,47566,OWL PARTY BUNTING,4,6/5/16,4.95,17644
554015,85099B,JUMBO BAG RED FOX,10,6/5/16,2.08,17644
554018,23203,FARM ANIMAL DOILEY PATTERNS,10,6/5/16,1.95,17644
554019,21175,SEEYA LATER ALLIGATOR METAL SIGN,24,6/5/16,2.55,17591
554026,22423,REGENCY CAKESTAND 3 TIER RHINO,16,6/5/16,10.95,13324
554028,22423,REGENCY CAKESTAND 3 TIER RHINO,8,6/5/16,12.75,15410
554028,47566,OWL PARTY BUNTING,24,6/5/16,4.95,15410
554030,47566,OWL PARTY BUNTING,8,6/5/16,4.95,16497
554033,22382,LUNCH BAG SPACECHIMP DESIGN ,20,6/5/16,1.65,16187
554033,85099B,JUMBO BAG RED FOX,20,6/5/16,2.08,16187
554040,21080,SET/20 DOLPHIN PAPER NAPKINS ,24,6/5/16,0.85,15290
554040,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/5/16,12.75,15290
554051,47566,OWL PARTY BUNTING,24,6/5/16,4.95,16696
554053,23203,FARM ANIMAL DOILEY PATTERNS,20,6/5/16,2.08,14282
554058,47566,OWL PARTY BUNTING,1,6/5/16,4.95,17757
554059,22423,REGENCY CAKESTAND 3 TIER RHINO,2,6/5/16,12.75,14388
554059,23203,FARM ANIMAL DOILEY PATTERNS,10,6/5/16,2.08,14388
554066,47566,OWL PARTY BUNTING,12,6/7/16,4.95,12916
554069,22382,LUNCH BAG SPACECHIMP DESIGN ,10,6/7/16,1.65,15281
554070,22423,REGENCY CAKESTAND 3 TIER RHINO,2,6/7/16,12.75,13555
554070,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/7/16,4.25,13555
554074,21080,SET/20 DOLPHIN PAPER NAPKINS ,6,6/7/16,0.85,13230
554076,47566,OWL PARTY BUNTING,4,6/7/16,4.95,16556
554079,47566,OWL PARTY BUNTING,1,6/7/16,4.95,14546
554083,22382,LUNCH BAG SPACECHIMP DESIGN ,3,6/7/16,1.65,18125
554084,23203,FARM ANIMAL DOILEY PATTERNS,10,6/7/16,1.95,12909
554084,85099B,JUMBO BAG RED FOX,10,6/7/16,2.08,12909
554084,22423,REGENCY CAKESTAND 3 TIER RHINO,2,6/7/16,12.75,12909
554084,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/7/16,0.55,12909
554086,23203,FARM ANIMAL DOILEY PATTERNS,10,6/7/16,1.95,16945
554089,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/7/16,12.75,13527
554090,47566,OWL PARTY BUNTING,3,6/7/16,4.95,17315
554094,47566,OWL PARTY BUNTING,2,6/7/16,4.95,15716
554096,47566,OWL PARTY BUNTING,4,6/7/16,4.95,14921
554097,22382,LUNCH BAG SPACECHIMP DESIGN ,10,6/7/16,1.65,12567
554098,21212,PACK OF 72 LADYBUG CAKE CASES,12,6/7/16,0.55,14769
554098,22577,WOODEN HEART PAWPRINT,6,6/7/16,0.85,14769
554098,21080,SET/20 DOLPHIN PAPER NAPKINS ,6,6/7/16,0.85,14769
554098,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/7/16,4.25,14769
554098,47566,OWL PARTY BUNTING,3,6/7/16,4.95,14769
554099,85099B,JUMBO BAG RED FOX,50,6/7/16,2.08,16341
554099,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/7/16,0.55,16341
554102,47566,OWL PARTY BUNTING,20,6/7/16,4.95,14647
554102,21212,PACK OF 72 LADYBUG CAKE CASES,4,6/7/16,0.55,14647
554103,47566,OWL PARTY BUNTING,1,6/7/16,4.95,15555
554103,22382,LUNCH BAG SPACECHIMP DESIGN ,3,6/7/16,1.65,15555
554104,22423,REGENCY CAKESTAND 3 TIER RHINO,3,6/7/16,12.75,12705
554105,84596F,STARFISH SOAP DISH,3,6/7/16,0.42,14711
554105,84596B,TIGER MIX DESIGN ORANGE BOWL,5,6/7/16,0.42,14711
554106,22382,LUNCH BAG SPACECHIMP DESIGN ,10,6/7/16,1.65,12710
554107,47566,OWL PARTY BUNTING,20,6/7/16,4.95,16249
554108,21175,SEEYA LATER ALLIGATOR METAL SIGN,1,6/7/16,2.55,13668
554108,21175,SEEYA LATER ALLIGATOR METAL SIGN,1,6/7/16,2.55,13668
554108,47566,OWL PARTY BUNTING,2,6/7/16,4.95,13668
554109,23084,RABBIT NIGHT LIGHT,24,6/7/16,1.79,12682
554109,22423,REGENCY CAKESTAND 3 TIER RHINO,2,6/7/16,12.75,12682
554112,85099B,JUMBO BAG RED FOX,1,6/7/16,2.08,17611
554113,85099B,JUMBO BAG RED FOX,10,6/7/16,2.08,16700
554113,23203,FARM ANIMAL DOILEY PATTERNS,10,6/7/16,2.08,16700
554116,21175,SEEYA LATER ALLIGATOR METAL SIGN,5,6/7/16,2.55,14514
554116,47566,OWL PARTY BUNTING,3,6/7/16,4.95,14514
554116,47566,OWL PARTY BUNTING,2,6/7/16,4.95,14514
554117,23084,RABBIT NIGHT LIGHT,6,6/7/16,2.08,13758
554117,22423,REGENCY CAKESTAND 3 TIER RHINO,2,6/7/16,12.75,13758
554117,21212,PACK OF 72 LADYBUG CAKE CASES,48,6/7/16,0.55,13758
554117,23203,FARM ANIMAL DOILEY PATTERNS,10,6/7/16,2.08,13758
554118,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/7/16,0.55,16592
554118,21080,SET/20 DOLPHIN PAPER NAPKINS ,12,6/7/16,0.85,16592
554124,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/8/16,12.75,13339
554126,22382,LUNCH BAG SPACECHIMP DESIGN ,10,6/8/16,1.65,12431
554129,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/8/16,2.55,14189
554132,21080,SET/20 DOLPHIN PAPER NAPKINS ,12,6/8/16,0.85,12360
554134,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/8/16,0.55,12583
554137,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/8/16,12.75,12708
554139,47566,OWL PARTY BUNTING,8,6/8/16,4.95,14911
554139,22423,REGENCY CAKESTAND 3 TIER RHINO,4,6/8/16,12.75,14911
554142,23203,FARM ANIMAL DOILEY PATTERNS,10,6/8/16,2.08,15288
554147,23084,RABBIT NIGHT LIGHT,6,6/8/16,2.08,12423
554151,47566,OWL PARTY BUNTING,12,6/8/16,4.95,14049
554151,22382,LUNCH BAG SPACECHIMP DESIGN ,10,6/8/16,1.65,14049
554157,22382,LUNCH BAG SPACECHIMP DESIGN ,1,6/8/16,1.65,18283
554157,22382,LUNCH BAG SPACECHIMP DESIGN ,1,6/8/16,1.65,18283
554158,21212,PACK OF 72 LADYBUG CAKE CASES,6,6/8/16,0.55,15563
554160,21212,PACK OF 72 LADYBUG CAKE CASES,1,6/8/16,0.55,17841
554160,23084,RABBIT NIGHT LIGHT,1,6/8/16,2.08,17841
554160,85099B,JUMBO BAG RED FOX,3,6/8/16,2.08,17841
554202,21080,SET/20 DOLPHIN PAPER NAPKINS ,5,6/8/16,0.85,13546
